Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
DK,2021,,10.807,1265478,75.5,34780.0,30878.0,1.72,342961.7,6.9,137.57,82.4,36627.0,32765.0,27643.0,31.396,5856733,83.1,2942847,2913886,37.2,38.1,104.82727272727271,33.0,34.9,,,41.3,59.8484715198381,757369
DK,2022,,10.917,1266519,77.4,36812.0,32035.0,1.55,380617.8,5.4,128.7,82.8,38149.0,33830.0,,31.456,5903037,83.2,2967080,2935957,33.8,35.9,113.825,,41.0,58.3,40.0,42.5,59.6800869994432,755859
EE,2009,3189.0,11.839,320606,69.9,7002.0,5858.0,1.7,14131.9,1.1,56.27,71.0,7479.0,6532.0,5362.0,28.86,1334515,75.0,713455,621060,10.0,9.6,85.61666666666667,,6.4,46.4,27.6,21.8,50.7802537075091,162804
EE,2010,2989.0,11.852,315139,67.4,6565.0,5489.0,1.72,14741.1,0.5,63.51,67.9,7007.0,6017.0,5066.0,29.178,1331475,75.2,711225,620250,11.8,10.7,87.96333333333332,,7.0,48.3,28.5,22.8,51.0826803695891,160981
EE,2011,3099.0,11.104,309172,68.6,6350.0,5295.0,1.61,16677.3,4.9,70.98,73.5,6695.0,5752.0,5499.0,29.389,1327439,75.5,708520,618919,11.7,11.4,92.43166666666669,28.4,6.7,48.6,29.8,19.8,51.3627060737874,158799
EE,2012,3142.0,10.647,303428,71.1,6791.0,5600.0,1.56,17916.7,4.1,75.13,75.2,7328.0,6295.0,5888.0,29.48,1322696,75.8,705543,617153,11.7,11.8,96.33166666666666,28.9,7.8,51.2,29.5,21.0,51.6105559057844,156600
EE,2013,3343.0,10.304,298308,71.6,7482.0,6180.0,1.52,18910.8,5.2,86.82,76.8,8136.0,6937.0,5630.0,29.497,1317997,76.1,702454,615543,12.0,12.7,99.45916666666666,28.8,7.3,52.0,29.7,17.8,51.9759653615159,155048
EE,2014,3218.0,10.324,293930,71.9,8417.0,6705.0,1.54,20048.2,6.5,95.57,78.4,9064.0,7442.0,6220.0,29.596,1314545,76.4,699891,614654,13.1,12.9,99.9325,29.0,7.1,,,19.8,52.3103337839208,153755
EE,2015,3382.0,10.505,291296,73.7,9188.0,7527.0,1.58,20631.4,6.3,100.46,80.0,9781.0,8223.0,6815.0,29.865,1315407,76.7,699701,615706,13.4,12.8,100.0,29.3,8.1,49.2,28.3,25.7,52.6069241203087,153241
EE,2016,3262.0,10.662,289273,73.7,9680.0,8152.0,1.6,21747.9,6.8,108.21,80.5,10408.0,9056.0,6360.0,30.156,1315790,76.8,698667,617123,15.4,14.8,100.8,29.7,8.8,49.5,29.5,25.7,52.7028518147693,152455
EE,2017,3323.0,10.506,287143,76.8,10298.0,8864.0,1.59,23833.6,4.9,113.49,81.7,10906.0,9907.0,6447.0,30.356,1317384,77.0,698073,619311,16.1,16.0,104.48,29.9,7.4,51.3,31.3,27.7,52.8481836875048,151749
EE,2018,3199.0,10.831,285810,76.8,11350.0,10005.0,1.67,25932.2,6.0,119.96,82.8,11918.0,10840.0,6573.0,30.487,1321977,77.1,698617,623360,20.2,18.8,108.045,29.9,8.0,51.7,31.3,29.7,52.9301962057804,151279
EE,2019,2790.0,10.691,284331,77.5,12303.0,10814.0,1.66,27951.0,6.0,129.79,83.5,12968.0,11769.0,6701.0,30.554,1326898,77.3,699442,627456,20.7,18.9,110.49583333333334,,9.4,53.8,28.5,28.7,52.9211914344613,150471
EE,2020,2555.0,10.47,282644,76.9,13283.0,11737.0,1.58,27430.0,4.4,136.01,81.3,13921.0,12496.0,6093.0,30.533,1329522,77.3,699426,630096,24.8,21.5,109.795,30.6,8.8,51.5,29.7,29.7,52.8877841051425,149484
EE,2021,2554.0,10.277,281237,77.5,13665.0,11974.0,1.61,31169.0,3.7,163.78,81.2,14617.0,12973.0,6396.0,30.523,1330932,77.4,698767,632165,28.8,24.1,114.4918181818182,30.8,9.1,,,26.7,52.7708311129875,148411
